,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,22.866422,20.003967,23.086014,18.721603,23.063727,14.203071,25.955987,22.932041,20.978366,21.906533,17.830853,22.760281,21.069866,23.296990,20.644380,26.039713,23.319099,19.656420,19.115320,25.847580,17.229509,17.066974,25.121430,25.045572,22.759273,22.236444,25.716736,27.175580,23.562706,21.598231,18.093831,25.654066,21.487432,25.111132,25.112288,21.396431,17.619236,24.252611,19.464917,24.324033,20.846811,21.432971,25.419592,18.006875,22.682308,21.627144,26.869331,22.099434,20.298802,26.712466,25.219704,17.362392,23.414901,25.610662,24.166910,23.657539,23.990759,20.360264,19.962319,28.951784,21.935051,27.402528,24.364687,25.582114,22.814842,24.012148,25.561123,22.966691,19.011205,20.490814,27.304324,27.075359,27.745676,26.367464,25.470976,26.029975,24.955855,21.392701,22.106350,28.948931,28.053601,28.788193,23.841783,20.773160,28.819749,27.418275,21.694751,24.703897,28.118944,26.027898,28.180830,27.809985,27.460339,20.963965,26.690989,26.577618,27.335341,25.231713,28.496045,26.290972,28.482128,26.320821,26.072464,26.435805,26.830372,27.008158,28.570608,23.906553,21.454659,28.088603,28.365927,27.570024,26.822558,29.206730,26.373814,28.992440,25.572600,25.678383,28.377941,26.090037,28.118314,24.404881,27.373787,24.774425,27.928683
WinMart+,26.571776,0.000000,22.511661,25.689648,28.072626,24.040354,15.405345,30.858575,24.643174,23.256102,24.948459,26.704701,25.298932,23.626099,25.825310,22.167685,29.301309,25.695861,20.884870,26.497623,30.115503,29.841030,22.833528,27.401382,25.900688,24.701354,24.659998,28.034989,29.887075,25.481150,23.078104,27.128359,27.391448,22.656334,26.874149,27.934763,22.754598,22.553396,25.868434,25.521800,30.274035,29.056671,22.792509,27.526715,24.111715,24.159215,29.173787,28.550132,23.219768,21.016930,29.939760,27.324780,22.937409,22.847163,27.972467,25.525975,24.937878,25.345525,27.149692,24.822584,31.360974,22.927333,30.355351,23.871909,27.407179,28.903782,26.336698,34.495982,24.563654,25.554910,24.451341,29.242933,28.604828,29.674501,28.710051,27.105360,34.034185,29.810201,20.693028,22.867653,31.624458,30.399812,32.263091,29.567437,23.506577,30.702773,29.691549,24.709563,25.901883,30.222013,27.389592,30.658469,29.681588,29.342829,23.842535,28.156297,28.015869,29.114425,26.486429,30.898485,27.722824,30.133293,27.560090,27.486810,28.065707,28.420221,28.556888,30.960461,25.014411,22.021622,30.092410,30.098418,29.184521,28.229705,31.266608,25.004157,30.974870,26.791483,26.572520,30.250925,26.574798,29.747560,24.779816,28.734375,25.154627,29.400584
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,20.287113,20.988324,0.000000,20.062097,16.613127,20.775320,18.858875,22.490960,20.924422,22.937753,19.456673,22.897255,20.606981,19.033663,21.282434,24.058415,23.535217,21.320902,18.416529,23.339896,23.560757,21.533009,20.696837,23.242137,23.451981,21.092964,24.096584,23.908024,25.075124,21.913640,19.959409,21.999871,18.677500,23.844678,17.823401,23.323644,24.146660,20.636298,22.795745,19.332253,22.682722,24.795712,23.052098,23.823315,20.828832,21.398067,25.233869,20.757285,24.296325,23.327357,24.969561,23.839185,20.034791,22.327073,24.195165,23.017002,22.541979,18.415654,19.446865,22.481959,27.231343,23.902908,25.834279,23.255068,24.383838,21.765608,22.668065,29.049129,25.023669,21.633777,21.251709,26.087005,25.854105,26.307477,24.952425,24.313010,29.132884,27.091411,20.559967,23.559960,27.532138,26.703881,27.157948,26.520531,21.251468,27.421829,26.103296,22.222404,23.707905,26.859152,25.078647,26.852227,26.636232,26.289956,21.470256,25.710168,25.598495,26.184287,24.215077,27.209100,25.255142,27.235350,25.429697,25.097241,25.366601,25.814379,25.989579,27.312186,23.017701,22.999345,26.943875,27.328233,26.560638,25.864952,28.081321,25.508618,27.888090,24.683032,24.892043,27.261081,25.531778,27.096169,23.932700,26.399049,24.295049,26.991984
Trường Mầm non Hoa Mai,23.536831,24.980035,19.259008,0.000000,22.270181,21.246147,22.238321,18.493334,21.440114,23.717333,19.130458,25.556051,21.307209,13.469161,22.007601,22.999469,21.929359,22.086982,18.594288,25.523809,24.814199,27.445292,23.335952,24.161846,24.162885,21.725047,24.140679,22.963357,24.629642,22.618000,23.188475,25.962272,23.582606,22.012775,22.879154,24.268842,23.082745,22.940581,23.459884,25.024809,22.811950,27.099346,23.101857,23.001093,24.062471,21.923114,27.295596,25.288132,21.487746,21.855438,26.064807,24.611892,23.230002,22.799983,25.024241,22.315636,23.059371,22.106472,19.684166,24.394219,27.581554,23.151449,26.862844,23.803551,25.063724,22.183840,22.793366,30.474145,21.335445,25.103207,27.034620,26.805115,25.779616,26.343407,25.840992,24.965772,30.406414,28.271215,20.840541,25.789854,28.522437,27.596243,28.367246,27.948143,23.299028,27.745843,26.948421,24.597133,23.262766,27.680621,25.618501,27.754092,27.398762,27.011520,23.656804,26.243227,26.128942,26.911348,23.856762,28.087094,25.827671,27.480226,25.884696,25.620297,25.979951,26.395672,26.577700,28.175666,23.459224,24.327786,27.688920,27.968056,27.158002,26.397198,28.836717,25.955707,28.616359,25.137100,25.292993,27.989602,25.477953,27.730342,23.796672,26.967669,24.180028,27.541696
Trường mầm non Vườn Hồng,24.186344,26.441857,17.102142,20.908511,0.000000,22.215546,19.240869,29.300939,22.403520,25.152864,20.149673,26.858014,22.630348,19.376489,23.358837,24.079098,27.918977,23.416496,18.953619,26.661461,26.850237,28.796697,24.148945,25.691513,25.323586,22.733382,25.454401,26.790093,29.168522,23.723511,24.147762,27.070075,26.306455,22.738123,25.666304,25.738988,23.957595,23.753395,24.487584,19.451590,23.921401,28.375112,23.965547,26.387274,24.768785,22.689204,28.486541,27.837740,22.037193,22.389333,27.757783,25.683452,23.844768,23.482907,26.211742,24.410525,23.768292,24.205812,20.066894,25.283415,31.315403,23.722437,28.482422,24.549682,26.008304,22.972475,23.893077,32.191422,22.057905,25.841069,28.784182,27.969943,28.035847,29.260681,27.075614,25.853753,32.058276,29.164541,21.242410,26.419550,30.014294,28.914604,30.243542,28.925045,24.401711,30.528660,28.253184,26.076037,25.052856,28.884518,26.355570,29.187154,28.428503,28.140434,24.825495,27.216662,27.088176,27.905115,25.724282,29.500414,26.718596,29.876847,26.743604,26.561294,27.009960,27.430942,27.568047,29.603934,24.074866,24.901310,28.910554,29.086587,28.213513,27.319868,30.116773,26.792638,29.857060,25.976136,25.845824,29.120450,26.182713,28.754834,24.366426,27.810176,24.750500,28.524750
WinMart+,23.390755,23.265786,22.687608,23.764331,21.910168,0.000000,19.480783,27.184542,20.695958,22.972725,22.846862,24.206497,21.780083,22.140723,22.570933,20.541808,27.008274,20.944841,16.987733,20.977375,24.829076,27.267039,21.642919,24.501269,24.834904,20.638050,25.058991,26.474946,27.874979,22.085774,22.850936,25.284322,26.186178,22.407696,25.739130,23.641885,22.578955,22.889092,20.765093,24.278503,25.566437,26.881520,22.659452,26.215107,23.081543,21.296524,27.175717,27.295120,22.079657,20.581262,25.361387,21.366098,22.104692,24.751095,24.405902,24.768937,20.830460,24.617864,18.667021,23.770685,29.420845,22.804745,23.347880,25.691160,23.329456,20.300351,23.560033,31.788597,24.620020,24.487815,23.663115,21.071080,27.482777,28.236514,23.436399,21.187130,31.600939,28.479064,21.041974,22.729834,25.969140,25.016894,27.546200,28.061572,22.947674,29.199422,24.315870,23.984168,25.213086,25.400451,23.396785,25.277915,25.108840,24.899769,23.261609,23.428552,20.418319,23.278553,25.736130,25.822906,23.923943,28.845066,21.465683,22.826094,23.987067,23.302479,23.669176,26.009383,24.303666,21.839807,25.765152,26.470055,24.390114,23.618259,27.205059,24.914464,27.029808,23.588930,22.798091,26.199320,26.128124,26.182409,24.451298,25.377310,24.808790,26.234013
WinMart+,14.047598,30.233419,18.031605,26.373457,28.253596,23.592846,0.000000,29.644802,25.430613,23.543747,26.094168,24.757621,24.764671,25.439901,26.452228,25.493500,28.854102,26.191114,21.241784,25.139423,29.534198,21.282368,19.703369,27.256329,22.908241,25.406921,25.886709,28.226653,29.175794,25.918996,18.736336,22.301467,19.463105,24.808730,18.726585,27.923065,25.666829,19.773864,23.585270,21.902630,29.633501,27.738454,23.563840,27.877581,20.292534,24.739595,28.003574,21.763806,25.293212,23.721063,29.262998,27.416151,19.125319,24.599780,28.104694,26.036166,23.089725,19.111362,27.024702,22.718142,30.634174,24.533515,29.445276,25.576128,27.470947,24.532097,26.247971,35.032898,26.437742,21.595640,22.077855,25.507601,28.566471,29.499254,28.406506,27.038546,34.084824,28.909141,21.497063,23.786713,30.451018,29.529895,30.873407,28.913536,21.587917,30.302630,28.932448,23.180289,26.262463,29.383734,23.749844,29.624097,29.049176,28.603582,21.785230,24.185243,21.252961,28.579012,26.776604,29.805365,23.878927,25.015797,22.101659,23.661379,27.478572,24.191139,24.515432,29.821619,25.453215,22.963152,29.137064,23.967382,25.166049,24.354064,30.053486,26.020963,25.928826,23.594753,23.400520,29.333090,26.541330,24.666787,24.779485,28.111934,25.129117,24.243660
Siêu thị Đức Thành,25.680982,28.167948,22.011436,18.978245,27.699393,24.079161,24.277389,0.000000,24.168074,26.821766,23.275444,28.280401,25.008178,16.399152,25.419612,25.499201,26.518216,25.540694,20.347226,27.891391,29.137234,29.966396,25.322912,27.410106,26.601083,24.521517,26.746526,25.627731,29.169610,25.380670,25.193460,28.193394,25.428666,23.751746,24.560372,27.453730,25.028378,24.788945,25.780888,26.725052,25.625803,29.507488,25.020205,25.284315,25.667987,24.004169,29.527832,27.482936,23.077012,23.300930,29.288115,26.978408,24.719420,24.536837,27.571463,23.363836,24.822737,23.107999,21.110369,26.138837,32.243788,24.509845,29.737226,25.504803,27.082590,23.887947,25.162625,33.129399,22.962471,26.665721,28.711393,28.797704,27.796729,29.320038,28.292981,26.826384,32.905426,29.814351,22.041241,27.002048,30.989379,29.871515,31.492545,29.710634,23.904619,30.932632,29.228578,25.701517,24.334929,29.744002,27.110944,30.129987,29.253348,28.938923,24.350931,27.851197,27.732027,28.732477,25.108147,30.376608,27.432514,30.065561,27.291507,27.222551,27.760589,28.096372,28.228610,30.450197,24.907436,25.372949,29.669460,29.715279,28.861060,27.929833,30.798826,27.310370,30.546271,26.568187,26.360407,29.834436,25.992342,29.374874,24.121416,28.422162,24.526271,29.061201
WinMart+,21.251211,24.164003,19.986323,20.998758,18.462977,19.091181,21.457537,25.141541,0.000000,23.894515,20.424902,26.166824,18.812235,19.828392,18.897636,22.094472,25.609447,21.351074,16.006492,26.088986,22.492554,28.661160,23.204645,26.036131,25.303961,20.815612,24.799806,25.371797,27.002622,22.690842,23.247833,26.656683,25.295943,21.857932,24.751591,22.631859,23.093656,22.917162,24.140591,25.342369,25.606662,28.212408,23.138195,25.181923,24.167162,21.535091,28.361360,26.646098,20.984469,21.382719,25.293205,23.458858,23.169605,22.887431,23.920573,23.867656,23.268861,23.691521,18.469269,24.731593,29.012086,19.356895,23.931139,24.346614,24.231026,22.219871,22.899951,32.644854,21.114581,25.430974,27.822525,25.043934,26.945599,27.708826,25.150216,24.243774,32.353068,29.135560,20.332933,20.574530,26.775433,25.661594,28.508419,28.884746,24.075054,28.847075,24.855054,24.550835,24.499653,26.014514,23.713168,25.943823,25.669224,25.380366,24.452388,24.987962,24.839527,23.632188,25.070996,26.503767,24.231959,28.485672,24.752844,24.179650,24.329001,25.016293,25.228595,26.694470,22.625985,23.215393,26.316209,26.949497,26.018175,25.167371,27.839236,24.959563,27.626190,23.801637,24.053851,26.751805,25.864430,26.645347,24.169519,25.787289,24.537280,26.622232
Siêu Thị T-Mart,22.342012,22.378488,21.606113,25.374572,24.540122,22.898221,17.744602,28.706852,23.314177,0.000000,23.488911,24.783415,26.685471,22.774304,24.124737,16.731090,28.197481,24.156266,19.633057,20.040436,26.550045,29.013840,21.144804,26.564028,19.994557,23.258146,27.376770,27.471504,28.779276,24.324558,22.883726,26.093890,22.963427,22.198206,26.613188,25.780954,22.408687,22.851079,22.950334,24.574326,27.467319,28.363207,22.535644,27.169112,23.098561,23.057049,28.559719,24.116552,23.160355,19.871119,27.272203,22.749417,21.911498,22.626259,26.133043,25.563224,22.475123,25.429078,20.179709,23.959806,30.075382,22.770280,24.814982,24.096986,24.434723,23.476464,25.089589,34.672073,25.214916,24.803929,23.759585,24.879743,28.095437,28.906199,26.815807,22.315445,34.090304,29.421934,19.916362,22.686977,26.914006,25.992207,29.229261,29.171660,22.932935,29.755549,25.371906,24.128352,25.886751,26.245779,22.676872,26.272432,25.934925,25.742097,23.280027,23.582402,20.120249,24.235148,26.395940,26.725603,23.084212,29.375053,21.348708,22.889685,24.847695,23.435855,23.848534,26.872040,25.026129,21.711284,26.550368,23.395861,24.683674,23.786712,27.845197,25.220280,25.672238,23.127488,22.776865,26.880105,26.378219,24.242170,24.693068,23.543074,25.045120,23.907447
