,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,23.698875,20.591408,23.743600,19.263143,23.717274,14.599996,26.702127,23.574694,21.574022,22.518652,18.326639,23.400623,21.655371,23.955278,21.223308,26.764026,23.970704,20.202354,19.646208,26.565428,17.708009,17.540961,25.827799,25.748280,23.391377,22.882976,26.431024,27.934516,24.217205,22.210971,18.596458,26.366734,22.089463,25.808769,25.811433,21.995776,18.111326,24.927785,20.005796,24.999960,21.426132,22.033733,26.126044,18.507333,23.312733,22.228264,27.616184,22.713726,20.863062,27.460922,25.920805,17.845079,24.065873,26.322704,24.838834,24.315324,24.657830,20.926406,20.524885,29.756877,22.545041,28.178575,25.042286,26.293591,23.464743,24.698232,26.280925,23.634839,19.540018,21.060800,28.078310,27.828548,28.517533,27.101000,26.179590,26.768483,25.650176,21.987903,22.721423,29.764765,28.841367,29.603532,24.505209,21.351212,29.621731,28.192507,22.307275,25.391394,28.908094,26.752273,28.982685,28.583993,28.235946,21.547460,27.469424,27.343419,28.096225,25.934056,29.307473,27.030745,29.274997,27.074554,26.818801,27.187291,27.597198,27.774874,29.387137,24.572146,22.058101,28.888734,29.178629,28.363601,27.584483,30.043165,27.133183,29.828146,26.301749,26.393441,29.179211,26.816583,28.914462,25.084522,28.139604,25.464380,28.726410
WinMart+,27.518396,0.000000,23.153014,26.413711,28.860123,24.712922,15.835611,31.722732,25.330159,23.904064,25.643279,27.448201,26.003133,24.283614,26.543938,22.784468,30.116508,26.410711,21.465853,27.234722,30.953226,30.671109,23.468679,28.163599,26.621164,25.388474,25.359458,28.814870,30.718493,26.190015,23.720136,27.883082,28.153509,23.286676,27.621856,28.711999,23.387723,23.180939,26.588236,26.231976,31.116471,29.865253,23.426792,28.292764,24.782746,24.831586,29.985739,29.344749,23.866046,21.601911,30.773121,28.085372,23.575894,23.483153,28.751148,26.236570,25.632119,26.051132,27.905544,25.513667,32.234112,23.565680,31.200532,24.536587,28.170308,29.708603,27.070355,35.456559,25.260499,26.266545,25.132259,30.057306,29.401445,30.500926,29.509632,27.860266,34.982084,30.640472,21.269380,23.504585,32.505312,31.246571,33.161768,30.391041,24.161368,31.558033,30.518657,25.397902,26.623449,31.063942,28.152628,31.512587,30.508504,30.160322,24.506800,28.956956,28.802831,29.925609,27.224404,31.759406,28.495273,30.972918,28.329406,28.253781,28.847758,29.212163,29.352650,31.823213,25.711479,22.635299,30.931010,30.938975,30.003392,29.016429,32.139399,25.705931,31.845206,27.538167,27.313111,31.094046,27.315472,30.576674,25.470479,29.535270,25.855754,30.220069
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,20.892158,21.611433,0.000000,20.617371,17.091198,21.364484,19.379862,23.142136,21.516089,23.595802,20.006580,23.531525,21.194289,19.561277,21.892247,24.742866,24.199621,21.925718,18.927698,23.987846,24.223968,22.131014,21.271714,23.906340,24.120826,21.685990,24.808717,24.572578,25.787265,22.531603,20.535270,22.611666,19.196954,24.524292,18.319196,23.984308,24.834831,21.222737,23.441508,19.870244,23.317660,25.487018,23.709644,24.486473,21.408671,21.998985,25.937051,21.335236,24.972853,23.981685,25.681657,24.504874,20.592777,22.948932,24.869085,23.658137,23.171594,18.928664,19.988626,23.126870,27.990034,24.574637,26.578996,23.908474,25.063304,22.396689,23.327294,29.881856,25.764527,22.236728,21.844032,26.839747,26.574753,27.040785,25.656126,24.996669,29.974262,27.853910,21.137488,24.223276,28.322030,27.467288,27.940949,27.259996,21.844033,28.186464,26.853678,22.861135,24.369031,27.626575,25.778032,27.629998,27.387979,27.045893,22.071685,26.473289,26.349246,26.923879,24.890506,27.997796,25.978609,27.995072,26.170952,25.828530,26.100656,26.565393,26.740653,28.106744,23.659868,23.657927,27.725181,28.125222,27.338816,26.612889,28.899928,26.256191,28.706310,25.399450,25.593597,28.044701,26.244242,27.877194,24.600563,27.150979,24.973045,27.776776
Trường Mầm non Hoa Mai,24.214841,25.710740,19.789535,0.000000,22.908694,21.846548,22.853458,19.026992,22.044339,24.395499,19.669345,26.264944,21.912450,13.843032,22.636083,23.651586,22.546324,22.711395,19.111051,26.233284,25.510275,28.208433,23.984926,24.849930,24.849595,22.333687,24.851643,23.602391,25.326646,23.253545,23.855122,26.685057,24.239199,22.637916,23.516269,24.953783,23.738204,23.590124,24.122027,25.721932,23.448146,27.854356,23.758394,23.641999,24.732988,22.536479,28.056288,25.992914,22.086640,22.466172,26.805354,25.297959,23.877576,23.435596,25.721890,22.937798,23.702294,22.722850,20.233025,25.091333,28.350676,23.799568,27.634269,24.469796,25.762732,22.824600,23.453717,31.344371,21.964718,25.803433,27.788742,27.575606,26.498772,27.078310,26.566914,25.665047,31.281180,29.063809,21.423650,26.513107,29.337555,28.382083,29.181930,28.728011,23.949181,28.520099,27.720068,25.301351,23.911964,28.468406,26.333469,28.554837,28.168966,27.785148,24.317078,27.019144,26.892254,27.668451,24.522670,28.898031,26.564606,28.247318,26.636240,26.363881,26.728779,27.160563,27.342722,28.992099,24.114154,25.021627,28.488641,28.780470,27.950531,27.157483,29.674004,26.713365,29.452615,25.863786,26.002966,28.790935,26.189376,28.526440,24.461166,27.732693,24.855244,28.339263
Trường mầm non Vườn Hồng,24.867965,27.183596,17.573726,21.485605,0.000000,22.830169,19.773638,30.115979,23.024698,25.850639,20.708876,27.603650,23.258840,19.914755,24.007922,24.748350,28.695114,24.067597,19.480716,27.403038,27.597185,29.597905,24.820930,26.406527,26.028444,23.366209,26.176990,27.536003,29.980741,24.384167,24.820301,27.824051,27.039220,23.371548,26.381345,26.456108,24.625129,24.415281,25.169970,19.993668,24.588083,29.165962,24.633538,27.122797,25.459229,23.321710,29.280695,28.613841,22.651605,23.013591,28.531759,26.399614,24.509685,24.137758,26.942718,25.091294,24.431174,24.880919,20.626584,25.988629,32.188884,24.384148,29.276939,25.234509,26.733841,23.613349,24.559924,33.089527,22.684842,26.562041,29.587288,28.750356,28.818112,30.077142,27.831123,26.575184,32.952866,29.978394,21.835204,27.156834,30.851917,29.721553,31.087599,29.732314,25.082752,31.380718,29.041753,26.803853,25.752122,29.690750,27.091224,30.001865,29.222047,28.925952,25.518488,27.992085,27.850549,28.684114,26.442411,30.323977,27.464508,30.710939,27.491577,27.303877,27.764053,28.196800,28.337742,30.430484,24.747047,25.596577,29.717776,29.900454,29.006660,28.082706,30.959087,27.546050,30.697595,26.701490,26.567544,29.933623,26.913856,29.557816,25.046866,28.586794,25.441681,29.321344
WinMart+,24.046434,23.926928,23.313808,24.421003,22.525986,0.000000,20.020693,27.953346,21.270292,23.616355,23.481444,24.879062,22.386153,22.756250,23.202348,21.113166,27.759636,21.527630,17.460488,21.561249,25.520261,28.026188,22.245561,25.184574,25.526596,21.212908,25.781914,27.212532,28.651647,22.701188,23.494242,25.988972,26.916015,23.032273,26.456604,24.300945,23.208425,23.527245,21.344060,24.955463,26.279346,27.631138,23.291370,26.946212,23.725286,21.890509,27.933711,28.056476,22.695560,21.155391,26.068893,21.962165,22.721386,25.441644,25.086843,25.460030,21.411682,25.304785,19.187910,24.435632,30.241858,23.441150,24.004219,26.408154,23.980556,20.874359,24.228234,32.677129,25.331014,25.171332,24.323629,21.663943,28.249945,29.024738,24.090643,21.778596,32.490829,29.274126,21.629424,23.364417,26.695520,25.715358,28.320522,28.845068,23.588397,30.014715,24.997334,24.656235,25.917111,26.109721,24.050114,25.991752,25.809999,25.597734,23.911204,24.106720,21.002215,23.928654,26.454873,26.552639,24.592097,29.650666,22.075718,23.474538,24.663747,23.963404,24.335972,26.747044,24.982496,22.449829,26.493479,27.222639,25.086796,24.284008,27.978194,25.626319,27.802971,24.256341,23.434947,26.933352,26.858018,26.918004,25.134364,26.086253,25.501857,26.977532
WinMart+,14.460466,31.144838,18.547561,27.132586,29.098615,24.288394,0.000000,30.536610,26.178087,24.245614,26.860715,25.458467,25.498064,26.149767,27.239627,26.247030,29.700476,26.962998,21.838193,25.849696,30.397920,21.875505,20.252564,28.065235,23.586735,26.148918,26.680579,29.018479,30.036266,26.678106,19.297499,22.926281,20.010615,25.542871,19.254642,28.744330,26.426257,20.357273,24.278965,22.516592,30.494904,28.541587,24.261559,28.655900,20.859108,25.460960,28.813928,22.385577,26.014660,24.411889,30.129180,28.211054,19.659481,25.309256,28.904754,26.763417,23.759297,19.645221,27.805958,23.394381,31.506563,25.249203,30.325952,26.322084,28.258908,25.269987,27.039797,36.074921,27.249360,22.199111,22.694814,26.271174,29.364790,30.323658,29.237940,27.827659,35.105999,29.753610,22.123789,24.481757,31.357384,30.405776,31.796779,29.731543,22.204285,31.149699,29.795249,23.871455,26.996636,30.254757,24.429798,30.514067,29.899931,29.456745,22.418566,24.929410,21.899267,29.416639,27.525281,30.701394,24.588527,25.715274,22.769737,24.376335,28.303270,24.920982,25.250225,30.721288,26.172749,23.645236,30.013279,24.692175,25.930528,25.084440,30.961941,26.811627,26.717549,24.304929,24.084825,30.207634,27.283671,25.404189,25.472563,28.942565,25.831989,24.974580
Siêu thị Đức Thành,26.397318,28.953974,22.619899,19.503551,28.467079,24.747057,24.951172,0.000000,24.839602,27.567378,23.922684,29.067033,25.704019,16.855537,26.127232,26.209166,27.256676,26.252053,20.914003,28.668421,29.949088,30.801435,26.028634,28.174100,27.342598,25.205116,27.504073,26.342284,29.982998,26.088452,25.896085,28.979710,26.137919,24.414280,25.245487,28.219609,25.726637,25.480557,26.500210,27.470742,26.340859,30.330892,25.718429,25.989925,26.384332,24.674111,30.351965,28.250021,23.721144,23.951335,30.105675,27.731511,25.409481,25.221824,28.341188,24.016111,25.515764,23.753166,21.699780,26.868673,33.144093,25.194224,30.567597,26.216997,27.838857,24.555031,25.865322,34.054590,23.613341,27.410425,29.513244,29.601993,28.573064,30.138933,29.083210,27.575663,33.824522,30.647115,22.656899,27.756285,31.855012,30.705934,32.372261,30.540578,24.572386,31.796735,30.045100,26.419518,25.014755,30.574956,27.868343,30.971750,30.070624,29.747430,25.031260,28.642437,28.510283,29.535253,25.809665,31.225347,28.198998,30.905618,28.054074,27.983200,28.536278,28.881453,29.017393,31.301068,25.603424,26.081957,30.498539,30.545648,29.670039,28.710323,31.659499,28.076089,31.403685,27.310655,27.097069,30.668194,26.718729,30.195804,24.795529,29.216477,25.211710,29.873394
WinMart+,21.843222,24.851804,20.539136,21.580353,18.985693,19.623701,22.053393,25.857428,0.000000,24.568452,20.993135,26.894990,19.339154,20.380445,19.429711,22.712040,26.322884,21.946026,16.452528,26.816076,23.119498,29.460118,23.851565,26.766770,26.012566,21.396100,25.519611,26.079456,27.755838,23.323824,23.906304,27.400384,26.001723,22.469393,25.442261,23.263421,23.739568,23.556751,24.814354,26.049695,26.321400,28.999909,23.785795,25.884885,24.841821,22.136299,29.153165,27.390039,21.570361,21.979751,26.000832,24.113897,23.816582,23.526549,24.588558,24.534180,23.918682,24.353159,18.985078,25.427471,29.822373,19.897534,24.607795,25.026647,24.907842,22.851795,23.553187,33.562628,21.727832,26.141382,28.599754,25.752653,27.698360,28.482921,25.852848,24.921093,33.269383,29.949573,20.901019,21.149376,27.528680,26.380911,29.314389,29.691822,24.747751,29.653120,25.555624,25.242723,25.184250,26.743250,24.375807,26.680640,26.386544,26.095866,25.135719,25.715333,25.553867,24.292626,25.771649,27.256990,24.912460,29.281781,25.460271,24.870425,25.019214,25.729835,25.943348,27.455833,23.258379,23.867025,27.064312,27.720024,26.765533,25.880791,28.634842,25.676704,28.420837,24.478856,24.726224,27.505551,26.587424,27.398170,24.845145,26.508148,25.223198,27.380984
Siêu Thị T-Mart,22.963854,23.006317,22.204026,26.077720,25.225560,23.534022,18.237562,29.513251,23.962540,0.000000,24.142590,25.473289,27.428517,23.408549,24.796767,17.197235,28.983208,24.829488,20.180275,20.599079,27.290246,29.822800,21.734418,27.304852,20.552217,23.906873,28.160609,28.237864,29.582191,25.003231,23.522994,26.822008,23.604231,22.817702,27.355918,26.500504,23.034149,23.488916,23.590968,25.260312,28.234098,29.155026,23.164805,27.927647,23.743472,23.700828,29.357163,24.789953,23.807077,20.426012,28.033796,23.384721,22.523415,23.258156,26.862893,26.277177,23.102847,26.139319,20.743349,24.629051,30.915454,23.406320,25.508160,24.770113,25.117295,24.134942,25.795452,35.640689,25.937278,25.496882,24.423374,25.574850,28.880385,29.713812,27.565034,22.938942,35.042818,30.244013,20.472853,23.320893,27.666049,26.718501,30.046022,29.986811,23.573765,30.587038,26.080916,24.802620,26.610158,26.979234,23.310595,27.008289,26.659717,26.461513,23.930637,24.259495,20.690933,24.912476,27.133663,27.474652,23.729397,30.196062,21.950447,23.534604,25.542886,24.095105,24.515124,27.627902,25.725638,22.318150,27.294706,24.055571,25.382954,24.451671,28.630008,25.934952,26.400534,23.776439,23.413564,27.631516,27.115598,24.919850,25.383352,24.201218,25.745255,24.579420
