,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,22.288002,19.217838,22.143463,18.071498,22.184665,13.531010,25.054966,22.020685,20.203139,21.026508,17.018350,21.876600,20.064768,22.411884,19.828234,24.966719,22.379459,18.727955,18.226311,24.761918,16.393967,16.224958,24.133932,24.049929,21.793999,21.518569,24.489220,26.068901,22.571212,20.788364,17.225566,24.435495,20.624466,23.925049,24.069954,20.534923,16.899047,23.245008,18.528781,23.270548,19.932530,20.570720,24.174118,17.094255,21.706888,20.674831,25.639958,21.083200,19.421248,25.631356,24.114144,16.432513,22.370801,24.423970,22.509936,22.617612,22.498034,19.455678,19.173589,27.607585,20.986740,26.347303,23.310799,24.418448,21.963776,23.131959,24.546988,22.212969,18.048033,19.430621,26.257997,25.482968,26.228684,25.238359,24.370299,25.035439,23.880596,20.465271,21.154570,27.802151,26.921508,27.677545,22.713119,19.814701,27.249857,26.342377,20.842880,22.848758,26.978486,24.834810,27.118280,26.619567,26.382781,20.045965,25.824138,25.646379,26.169062,23.628982,27.425959,25.238689,24.020166,25.359828,25.118722,25.430436,25.840494,25.973804,27.516707,22.769028,20.591795,27.033239,27.334682,26.595024,25.799748,28.143052,25.443419,27.976894,24.618445,24.574419,27.261323,24.793613,27.027904,23.070601,26.243882,23.491252,26.895965
WinMart+,25.654044,0.000000,21.476779,24.500163,26.910346,22.987716,14.599968,29.585826,23.537001,22.255268,23.821546,25.363022,24.178853,22.390116,24.695676,21.175693,27.958250,24.533558,19.804216,25.146542,28.716639,28.261451,21.606149,26.179246,24.738056,23.545140,23.706756,26.573345,28.527039,24.297232,22.075893,25.707658,25.970595,21.633513,25.487618,26.649469,21.725929,21.525002,24.677783,24.183842,28.831788,27.656741,21.762849,26.059477,22.786189,23.016327,27.763818,27.121407,22.052566,20.018349,28.582599,26.010087,21.611731,21.730918,26.557230,23.671646,23.735627,23.663462,25.828263,23.711942,29.771986,21.838889,29.016621,22.738033,26.044380,27.651244,25.206937,32.948923,23.602821,24.151769,23.082695,27.956563,26.802779,27.927008,27.358363,25.818712,32.539217,28.398849,19.707880,21.785842,30.207219,29.023107,30.838494,28.042149,22.322137,28.901244,28.367903,23.607606,23.854258,28.848923,26.017776,29.321235,28.284720,28.034406,22.697032,27.064234,26.858200,27.747979,24.694652,29.553742,26.472729,25.392384,26.381159,26.308958,26.834414,27.193805,27.299175,29.624517,23.717179,21.024846,28.780896,28.814494,27.967949,26.989337,29.930442,23.963650,29.693364,25.628220,25.315128,28.898434,25.139959,28.428317,23.319236,27.414311,23.743934,28.130224
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,19.559288,20.355931,0.000000,19.250149,16.076326,20.035377,17.988941,21.781350,20.156209,22.165316,18.738139,21.899720,19.877629,18.165425,20.549467,23.192730,22.648904,20.538862,17.589631,22.309579,22.652685,20.540006,19.724999,22.415483,22.607707,20.269940,23.414231,22.826533,24.148887,21.071280,19.288434,21.000259,17.838080,22.978656,17.027461,22.444875,23.267744,19.872546,21.936749,18.453130,21.770375,23.777275,22.214587,22.718598,19.827555,20.548868,24.191757,19.862681,23.243517,22.393782,24.056448,22.862687,19.013896,21.391123,23.138369,21.494985,21.615786,17.316151,18.634753,21.681734,26.039472,22.948819,24.941169,22.326055,23.339932,21.039866,21.927216,28.010937,24.303588,20.595312,20.208515,25.190637,24.400704,24.938385,23.973170,23.343939,28.135377,26.016987,19.736008,22.626881,26.550427,25.731759,26.218241,25.336958,20.328665,26.001052,25.182577,21.438063,21.985785,25.876061,23.997405,25.947049,25.592714,25.362975,20.595890,24.979880,24.805001,25.163814,22.740161,26.296466,24.344890,22.976450,24.603670,24.280305,24.503715,24.966026,25.098601,26.414920,21.985784,22.166240,26.040108,26.445327,25.729245,24.982897,27.172452,24.712571,27.024885,23.861999,23.909889,26.298185,24.333656,26.154707,22.689661,25.415082,23.103595,26.103393
Trường Mầm non Hoa Mai,22.649098,24.192980,18.447244,0.000000,21.527757,20.465198,21.190667,17.890606,20.628192,22.892257,18.401560,24.419575,20.528752,12.842655,21.224855,22.145448,21.077879,21.251155,17.743128,24.375089,23.828885,26.155996,22.220198,23.274997,23.265377,20.852078,23.430297,21.905138,23.691416,21.722243,22.382397,24.760682,22.502954,21.187910,21.838339,23.326391,22.215907,22.064976,22.548604,23.865894,21.867782,25.960610,22.235790,21.915315,22.885674,21.027610,26.144197,24.177495,20.539037,20.955466,25.081577,23.578861,22.027037,21.825661,23.910847,20.821592,22.088804,20.768430,18.846311,23.498021,26.352092,22.200778,25.903424,22.825246,23.970482,21.418739,22.022286,29.349971,20.697033,23.877734,25.685535,25.853248,24.309370,24.951016,24.797145,23.941946,29.330304,27.117407,19.981294,24.738686,27.472461,26.559723,27.352864,26.678119,22.268409,26.285676,25.966752,23.700529,21.554457,26.635467,24.493248,26.786414,26.293702,26.027817,22.666651,25.467338,25.288656,25.831333,22.384304,27.112381,24.866785,23.176241,25.013836,24.756565,25.066008,25.497505,25.635634,27.217205,22.388397,23.418262,26.727888,27.031839,26.276181,25.466174,27.869681,25.115323,27.697086,24.271531,24.265520,26.968210,24.261454,26.734376,22.541194,25.930996,22.974394,26.602725
Trường mầm non Vườn Hồng,23.121949,25.389157,16.282813,19.915901,0.000000,21.233526,18.219949,28.092221,21.392869,24.068881,19.236244,25.499431,21.627242,18.356695,22.337388,23.000992,26.637594,22.356723,17.969317,25.297831,25.602044,27.267773,22.847044,24.546929,24.187966,21.669026,24.475755,25.390872,27.842220,22.621558,23.101356,25.650533,24.940357,21.712921,24.340929,24.555808,22.876009,22.671564,23.361620,18.431184,22.782213,27.008337,22.884538,24.979992,23.406158,21.616643,27.110365,26.444881,20.929613,21.326368,26.501568,24.448508,22.465732,22.336233,24.886008,22.634207,22.623348,22.597512,19.090956,24.154448,29.729555,22.597519,27.229119,23.384941,24.715992,21.979463,22.870849,30.750571,21.198394,24.422471,27.173170,26.742340,26.268864,27.537411,25.802637,24.628088,30.653317,27.785581,20.232380,25.171382,28.671911,27.607609,28.911033,27.434008,23.173256,28.737583,26.996265,24.915533,23.070545,27.574648,25.036854,27.917068,27.092586,26.888224,23.634276,26.164767,25.972029,26.597392,23.983633,28.219492,25.516109,25.168541,25.602542,25.425998,25.827703,26.250129,26.356602,28.329649,22.827571,23.776385,27.653476,27.848952,27.040610,26.122142,28.832935,25.680717,28.625185,24.850876,24.624659,27.821128,24.770218,27.482280,22.930929,26.534829,23.363444,27.295095
WinMart+,22.397529,22.406150,21.647285,22.686992,21.068985,0.000000,18.490390,26.158538,19.811040,22.052529,21.865568,23.038811,20.868717,21.027195,21.648174,19.671564,25.833593,20.047340,16.145650,19.954184,23.734491,25.883620,20.527052,23.471437,23.781125,19.721384,24.187214,25.155295,26.675035,21.113288,21.933570,24.018875,24.889021,21.451848,24.471652,22.612439,21.614424,21.902137,19.860601,23.062881,24.410639,25.651511,21.692279,24.879470,21.866491,20.341202,25.928325,25.994921,21.022903,19.653760,24.274975,20.390187,20.878299,23.601990,23.229961,23.021575,19.877147,23.038450,17.804027,22.771012,28.001394,21.778259,22.389604,24.534188,22.226264,19.491795,22.636900,30.446380,23.750621,23.202090,22.395178,20.210055,25.814963,26.640474,22.391454,20.234127,30.313464,27.201718,20.092575,21.711194,24.874494,23.946997,26.413539,26.682762,21.847904,27.555634,23.300014,22.981482,23.273253,24.310431,22.282708,24.260763,23.989995,23.859460,22.201943,22.608864,19.651276,22.244469,24.054338,24.787654,22.905799,24.304750,20.627631,21.933269,23.013904,22.383565,22.702463,24.983766,23.103849,20.906981,24.731413,25.440278,23.465451,22.657265,26.144755,23.971928,26.013945,22.648311,21.777483,25.101201,24.782694,25.099890,23.070143,24.276556,23.479061,25.196692
WinMart+,13.616857,29.519935,17.413050,25.498382,27.572667,22.941780,0.000000,28.961666,24.705185,22.950188,25.347517,23.845943,24.099102,24.423803,25.769524,24.794949,28.013894,25.456336,20.421565,24.200061,28.649867,20.423200,18.891040,26.525331,22.283982,24.635336,25.390097,27.127576,28.353866,25.148914,18.273878,21.427266,18.715715,24.126863,18.016446,27.116747,24.959984,19.217071,22.905073,21.045042,28.701251,26.841853,22.917958,26.753035,19.438786,23.975627,27.092560,20.995915,24.391741,22.981129,28.454696,26.534893,18.265927,23.779719,27.089490,24.463579,22.344759,18.082660,26.133062,22.113986,29.525727,23.772095,28.693697,24.781828,26.519256,23.937308,25.629570,34.097442,25.921505,20.691729,21.129346,24.862548,27.132543,28.143404,27.545230,26.201857,33.227177,28.020805,20.827403,23.057396,29.641058,28.721908,30.085989,27.829009,20.819464,28.918453,28.174455,22.572546,24.505222,28.573884,22.916762,28.895765,28.172027,27.855030,21.092963,23.722716,20.790007,27.722604,25.307133,29.078303,23.235217,21.126548,21.586542,23.108324,26.795058,23.618079,23.899096,29.115700,24.492228,22.340184,28.426807,23.413567,24.610566,23.746619,29.357480,25.449334,25.366048,23.026789,22.688691,28.565263,25.462564,24.035609,23.646738,27.319694,24.054002,23.668516
Siêu thị Đức Thành,24.524236,27.024966,20.946420,18.070499,26.538299,23.008704,22.976062,0.000000,23.071016,25.659944,22.213370,26.837351,23.892724,15.527979,24.301311,24.349762,25.292301,24.376487,19.280982,26.452278,27.772337,28.360749,23.945211,26.179955,25.399127,23.364204,25.704779,24.276978,27.832445,24.191883,24.093230,26.701361,24.096102,22.671842,23.280552,26.180878,23.888756,23.650159,24.585074,25.310169,24.394547,28.073383,23.881613,23.923403,24.242997,22.859181,28.088358,26.095206,21.906503,22.184554,27.950505,25.669237,23.277052,23.327618,26.164034,21.650337,23.615932,21.560021,20.074177,24.960794,30.595791,23.336725,28.416425,24.283377,25.724313,22.845595,24.075113,31.632346,22.052600,25.188450,27.089914,27.521495,26.030104,27.578152,26.949939,25.542350,31.449189,28.391015,20.983079,25.713961,29.589659,28.507892,30.091182,28.164576,22.689667,29.101926,27.915235,24.546196,22.396057,28.381669,25.741384,28.805598,27.865061,27.638144,23.170990,26.755425,26.569687,27.372467,23.395796,29.044010,26.185234,25.319498,26.111412,26.044143,26.532936,26.874350,26.975305,29.125816,23.604646,24.214917,28.365908,28.432902,27.640378,26.692505,29.468245,26.157128,29.263747,25.405004,25.102176,28.489183,24.576840,28.061064,22.687810,27.105121,23.139148,27.794911
WinMart+,20.357132,23.294268,19.084500,20.064107,17.779720,18.315296,20.380933,24.228658,0.000000,22.970069,19.566566,24.925284,18.049975,18.846105,18.150617,21.185122,24.519376,20.456322,15.225762,24.837732,21.521470,27.229330,22.026183,24.976015,24.261959,19.909919,23.972993,24.127684,25.865115,21.712233,22.345516,25.344160,24.063616,20.949761,23.553186,21.666897,22.132034,21.949821,23.110822,24.094122,24.471528,26.946044,22.176043,23.919234,22.914142,20.587988,27.084093,25.399322,19.997793,20.437744,24.235982,22.407632,21.902104,21.844427,22.788023,22.199780,22.224007,22.188558,17.631243,23.722823,27.636666,18.502398,22.979437,23.271307,23.105703,21.363416,22.032264,31.307662,20.397172,24.116298,26.354045,24.052468,25.330908,26.164437,24.050756,23.174296,31.076099,27.854047,19.433108,19.670302,25.680433,24.592861,27.372287,27.489617,22.941574,27.246023,23.847951,23.555362,22.631225,24.925777,22.604136,24.932869,24.547711,24.351912,23.359562,24.146640,23.938522,22.602945,23.451575,25.474900,23.230727,23.998510,23.818187,23.264869,23.372873,24.061806,24.230204,25.676009,21.528114,22.251627,25.293899,25.935667,25.065408,24.175331,26.789959,24.047599,26.623701,22.882952,22.998097,25.664303,24.554292,25.577432,22.824074,24.691510,23.242488,25.603576
Siêu Thị T-Mart,21.357962,21.505649,20.588416,24.194908,23.558132,21.912733,16.817915,27.576502,22.290439,0.000000,22.452219,23.555065,25.535937,21.597661,23.100749,16.002578,26.936984,23.092210,18.633388,19.036399,25.347133,27.502371,20.025790,25.413372,19.122304,22.196387,26.376852,26.065206,27.505025,23.223163,21.922684,24.752635,21.795093,21.223855,25.267126,24.626072,21.423613,21.837198,21.921800,23.310876,26.190438,27.028893,21.545628,25.748221,21.851236,21.993317,27.211977,22.936185,22.021500,18.950168,26.069666,21.681002,20.665911,21.546477,24.839548,23.723891,21.417614,23.762365,19.220744,22.917936,28.584924,21.716154,23.752235,22.980791,23.247327,22.496498,24.058470,33.160339,24.276623,23.467991,22.454206,23.816884,26.351677,27.232768,25.585250,21.282542,32.636055,28.063772,18.991625,21.640542,25.741157,24.846921,27.975189,27.699137,21.803260,28.039796,24.272218,23.082121,23.859658,25.085293,21.566841,25.163857,24.745089,24.625958,22.188660,22.711421,19.324963,23.126436,24.634658,25.601510,22.071425,24.737657,20.473238,21.949279,23.790531,22.465352,22.827961,25.759122,23.756525,20.755096,25.432361,22.439150,23.698764,22.771378,26.704325,24.215776,24.656035,22.158867,21.726202,25.711424,24.983298,23.197054,23.263823,22.489950,23.667896,22.914033
