,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,26.634806,25.960077,30.929155,25.575323,31.804806,19.712963,36.349002,32.183251,29.595377,30.952090,25.247369,32.341715,29.961529,33.246950,29.486067,37.213649,33.384826,28.156207,27.410216,37.100176,24.752706,24.539866,36.197867,36.108006,32.799412,32.228431,37.113301,39.264175,34.043283,31.292779,26.169641,37.121537,31.134788,36.368230,36.392804,31.040355,25.562387,35.186775,28.244579,35.307046,30.269366,31.158860,36.931780,26.169393,32.973271,31.447741,39.080392,32.150773,29.538300,38.913592,36.716449,25.282844,34.103710,37.309584,35.213447,34.478029,34.970351,29.683861,29.151193,42.225590,31.997347,40.058754,35.554163,37.336673,33.390029,35.160316,37.375443,33.708286,27.770770,29.936282,39.977812,39.567512,40.552386,38.542944,37.237147,38.140200,36.493654,31.286835,32.334277,42.406220,41.083565,42.203585,34.889322,30.401985,42.182696,40.199175,31.810661,36.170169,41.211688,38.116236,41.372475,40.734257,40.289952,30.712492,39.307742,39.092560,40.059566,36.979777,41.870798,38.584093,41.754717,38.708632,38.345438,38.853627,39.460416,39.695972,42.026969,35.069010,31.509164,41.312508,41.750364,40.603275,39.448235,42.996541,38.852344,42.718873,37.637658,37.698858,41.727365,38.308160,41.363297,35.838410,40.220363,36.385339,41.133531
WinMart+,30.860775,0.000000,30.119229,35.151200,38.905265,33.577889,21.639120,43.571082,34.898026,33.034178,35.521163,38.100745,36.164237,33.825144,37.030403,31.825608,42.114587,36.972451,30.078533,38.196091,43.446987,43.083890,32.990029,39.617635,37.470912,35.755548,35.795875,40.626911,43.332720,36.961256,33.492145,39.384496,39.782315,32.918402,39.060102,40.615965,33.095691,32.813337,37.647751,37.154099,44.084819,42.323675,33.208638,40.115951,35.147747,35.225351,42.546617,41.646344,33.878185,30.670591,43.701304,39.891725,33.492942,33.367347,40.860001,37.292886,36.439900,37.041710,39.684857,36.289666,45.854787,33.528467,44.398551,34.919890,40.096874,42.293381,38.544063,50.488772,36.030368,37.412189,35.800921,42.822603,41.892200,43.463707,42.055790,39.709511,49.866629,43.681410,30.324983,33.515218,46.354517,44.563641,47.299964,43.351297,34.468141,45.024136,43.545677,36.242252,37.993845,44.334842,40.182809,44.983051,43.552426,43.059292,34.990154,41.417680,41.159223,42.737608,38.882761,45.363843,40.703974,44.245859,40.479021,40.372392,41.219076,41.742651,41.945893,45.479519,36.746662,32.352439,44.212517,44.234319,42.915739,41.483386,45.957113,36.776110,45.566211,39.379442,39.059141,44.468876,39.066714,43.733669,36.431814,42.248197,36.986671,43.232675
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,26.306273,28.247049,0.000000,28.272591,23.724301,29.790227,27.072526,32.557776,30.283606,33.320980,28.264528,33.236396,30.040414,27.692401,31.105784,35.166530,34.398783,31.201163,26.903991,34.114582,34.505436,31.504940,30.294331,34.139920,34.455370,30.952626,35.576203,35.068633,36.877188,32.212265,29.423370,32.309388,27.436332,35.128280,26.194227,34.351886,35.596130,30.418167,33.596257,28.442059,33.397502,36.498430,34.021980,35.072384,30.668105,31.540019,37.167721,30.574856,35.791992,34.395592,36.888546,35.142084,29.528552,32.910389,35.667479,33.933919,33.246296,27.155226,28.678339,33.263756,40.166423,35.292655,38.255412,34.342292,35.979787,32.260092,33.612952,43.010105,37.190291,31.939291,31.377225,38.666170,38.178611,38.850420,36.898054,35.943397,43.199419,40.060909,30.397910,34.844111,40.806031,39.565678,40.279442,39.192343,31.407144,40.528082,38.710454,32.956954,35.045672,39.811335,37.075867,39.865897,39.433990,39.003654,31.763512,38.285673,38.069990,38.780335,35.816454,40.417500,37.467766,40.289991,37.803754,37.310309,37.683747,38.374222,38.607904,40.605224,34.064483,34.135579,40.048272,40.647999,39.529285,38.439127,41.773068,37.971058,41.520717,36.706000,36.897992,40.499002,37.808159,40.268997,35.442648,39.183561,35.981414,40.158066
Trường Mầm non Hoa Mai,31.526386,34.402960,27.129773,0.000000,32.088191,30.699630,32.152107,26.944093,31.209398,34.641918,27.930269,37.285793,31.202140,19.688222,32.299054,33.750740,32.171235,32.438544,27.269339,37.447843,36.458170,40.298932,34.276638,35.596903,35.602460,31.968407,35.741739,33.787316,36.315500,33.330647,34.268420,38.237404,34.738913,32.504114,33.715569,35.822424,34.101111,33.885843,34.646038,36.908754,33.653498,39.978547,34.160639,33.941446,35.511500,32.371961,40.291555,37.331881,31.724509,32.279611,38.571176,36.347992,34.309864,33.677451,36.965752,32.967112,34.068477,32.662872,29.085886,36.146777,40.762071,34.231866,39.835370,35.200858,37.051913,32.925224,33.844665,45.179755,31.751178,37.127089,39.985634,39.780812,38.134400,38.970230,38.257974,36.952108,45.141448,41.853687,30.847706,38.184784,42.321112,40.932902,42.119020,41.366740,34.486761,41.070358,40.005590,36.516488,34.439591,41.070244,37.930361,41.245787,40.602032,40.112797,35.032447,39.116975,38.895410,39.893285,35.335812,41.759353,38.351044,40.707908,38.513858,38.120843,38.627749,39.271423,39.514309,41.923428,34.763105,36.136068,41.188386,41.632454,40.449884,39.260140,42.929370,38.665681,42.636720,37.408563,37.518920,41.610779,37.773659,41.240176,35.282953,40.054688,35.853026,41.003502
Trường mầm non Vườn Hồng,32.914246,36.726722,24.280093,29.952312,0.000000,32.143303,27.901526,42.642057,32.627173,36.692347,29.418625,39.241699,33.104077,28.356032,34.219081,35.291304,40.936509,34.353073,27.813146,39.139499,39.434204,42.304208,35.487599,37.773112,37.241768,33.437454,37.545550,39.423748,42.937851,34.927882,35.565205,39.868138,38.750287,33.503505,37.819818,37.935337,35.316321,35.019597,36.106182,28.682701,35.278559,41.851373,35.354811,38.928220,36.544434,33.480326,42.038330,41.084794,32.527008,33.050259,40.981069,37.919144,35.207287,34.675782,38.708315,36.051101,35.105331,35.753989,29.642543,37.354066,46.265003,35.050054,42.089176,36.276887,38.434066,33.953738,35.318385,47.583105,32.676503,38.198786,42.551585,41.353704,41.449588,43.262569,40.034580,38.229487,47.409667,43.129161,31.415014,39.073265,44.393750,42.768575,44.737163,42.785397,36.095996,45.160985,41.799097,38.579560,37.064879,42.737156,38.995032,43.189467,42.065720,41.642658,36.736401,40.371889,40.127786,41.299151,38.072138,43.665391,39.547967,44.222046,39.596602,39.326091,39.984915,40.609751,40.813259,43.829132,35.641548,36.867517,42.805645,43.077834,41.807669,40.453559,44.604786,39.706404,44.254643,38.468320,38.274179,43.125938,38.774487,42.586623,36.086347,41.188443,36.656766,42.250200
WinMart+,32.173677,32.624994,32.395047,34.204863,31.775205,0.000000,28.338169,39.744375,30.224988,33.633413,33.442192,35.454573,31.939248,32.474953,33.158524,30.171394,39.683495,30.789055,24.977361,30.854166,36.533917,40.130196,31.861720,36.091623,36.585714,30.406602,37.088584,39.024695,41.100609,32.568829,33.745500,37.296849,38.633027,33.067135,37.984347,34.896351,33.332873,33.794219,30.661259,35.850881,37.757216,39.703095,33.473555,38.726346,34.100424,31.466705,40.156226,40.335967,32.631333,30.419693,37.489976,31.584135,32.678157,36.592961,36.085042,36.624198,30.802700,36.405388,27.606827,35.169023,43.515995,33.732598,34.568028,38.006599,34.514084,30.080289,34.924487,47.048041,36.576358,36.239362,35.020456,31.215336,40.677302,41.794654,34.691770,31.363358,46.828270,42.161373,31.152307,33.652545,38.459423,37.042765,40.820303,41.552130,33.980873,43.239876,36.025912,35.535055,37.340576,37.620892,34.652763,37.488617,37.191616,36.899663,34.457142,34.848204,30.329914,34.487204,38.128506,38.309947,35.447478,42.738138,31.868415,33.887815,35.584786,34.591040,35.110007,38.611339,36.017635,32.368252,38.237437,39.310122,36.241538,35.043554,40.403299,37.025134,40.175192,35.018887,33.796963,38.853545,38.734727,38.841773,36.250317,37.624803,36.781638,38.958843
WinMart+,19.578403,42.966010,25.983411,38.312383,41.455581,34.653485,0.000000,43.836511,37.543230,34.870220,38.615083,36.512176,36.742973,37.512722,39.318984,37.882809,42.858602,38.944335,31.424247,37.225075,43.914751,31.485563,29.154988,40.627629,34.148681,37.820083,38.783823,41.854395,43.512943,38.632078,28.008376,33.090222,28.893978,37.045744,27.815624,41.676807,38.342815,29.534339,35.219371,32.535394,44.198990,41.358444,35.229679,41.409681,30.144010,36.928332,41.768213,32.417951,37.670871,35.413850,43.774372,40.917559,28.428607,36.696001,41.866575,38.706729,34.469038,28.414613,40.332618,34.022584,45.650451,36.659463,44.130903,38.222640,40.979952,36.799411,39.390977,52.490838,39.768440,32.137125,32.855094,38.255802,42.515081,43.903764,42.495167,40.437461,51.134463,43.244778,32.151472,35.586684,45.657018,44.260439,46.322265,43.111345,32.221363,45.125086,43.399383,34.772426,39.113581,44.050400,35.465777,44.484048,43.493638,42.919281,32.593322,36.429090,31.968810,42.804801,39.897482,44.775777,35.825577,37.277737,33.227581,35.572835,41.280659,36.366334,36.827134,44.834749,37.986635,34.462237,43.793078,36.048734,37.874083,36.597832,45.206930,39.167563,39.035981,35.478828,35.070415,44.061015,39.584223,37.064670,36.957902,42.185277,37.480402,36.467369
Siêu thị Đức Thành,35.821789,39.874151,31.661751,27.483973,40.331874,35.129193,35.449982,0.000000,35.415745,39.360362,34.171828,41.533588,36.770039,24.111838,37.416195,37.544120,39.054703,37.630887,29.978902,41.106951,42.962249,44.186554,37.348163,40.449891,39.262842,36.195069,39.581737,37.837945,43.083637,37.490530,37.227762,41.650911,37.571542,35.105587,36.297541,40.584049,37.004386,36.653264,38.122739,39.516898,37.897652,43.641285,37.012305,37.399170,37.969585,35.514060,43.688127,40.664581,34.147653,34.482747,43.349428,39.929381,36.586167,36.319550,40.813011,34.585664,36.749077,34.210542,31.255986,38.707761,47.743973,36.295423,44.043687,37.772232,40.109342,35.385937,37.276360,49.076499,34.079363,39.499938,42.531777,42.668262,41.179907,43.438154,41.920646,39.748636,48.762709,44.178961,32.661600,40.014219,45.927456,44.271403,46.676965,44.031553,35.428236,45.844661,43.325488,38.098326,36.069323,44.091872,40.186809,44.668682,43.366178,42.903665,36.099784,41.374729,41.141256,42.599946,37.225296,45.043387,40.676858,44.578123,40.472148,40.370642,41.168260,41.667853,41.863789,45.160401,36.935914,37.629709,44.004409,44.074163,42.823082,41.426240,45.683734,40.525521,45.333854,39.410043,39.099362,44.255106,38.553268,43.575154,35.779367,42.161784,36.381030,43.113568
WinMart+,29.776831,34.399604,28.821899,30.473720,26.991344,27.916022,31.384794,36.979490,0.000000,35.168109,30.029773,38.482677,27.715136,29.192117,27.884344,32.584498,37.763186,31.496379,23.611375,38.495059,33.202298,42.308831,34.261202,38.489912,37.405050,30.757295,36.838190,37.500331,39.925093,33.552179,34.444603,39.421759,37.413890,32.348153,36.616971,33.489239,34.185563,33.918590,35.731533,37.508073,37.904979,41.764718,34.269526,37.281841,35.781898,31.889662,41.999562,39.461088,31.078353,31.671358,37.476529,34.749842,34.321315,33.906455,35.438136,35.360575,34.476764,35.102856,27.367565,36.682609,42.993127,28.687449,35.519541,36.085698,35.914566,33.005469,34.029366,48.431910,31.446812,37.702447,41.249333,37.189315,39.952289,41.085150,37.294830,35.951404,48.054521,43.208620,30.154788,30.514087,39.743788,38.076138,42.342233,42.842424,35.709723,42.788134,36.906906,36.455577,36.342790,38.604621,35.178410,38.561176,38.083613,37.693929,36.279372,37.250870,36.978549,35.067137,37.200940,39.404869,35.979779,42.270732,36.827614,35.974323,36.168910,37.214356,37.502522,39.712642,33.582371,34.476081,39.137511,40.106648,38.742546,37.420144,41.431983,37.170313,41.148090,35.408286,35.712354,39.754591,38.400251,39.609749,35.885006,38.289633,36.431924,39.616241
Siêu Thị T-Mart,31.420820,31.903731,31.214622,36.877816,35.868785,33.499147,25.977437,42.197269,34.239089,0.000000,34.550727,36.464268,39.304915,33.541589,35.568320,24.672740,41.590363,35.643030,28.967954,29.577062,39.200305,42.838551,31.226272,39.251139,29.548299,34.371769,40.613025,40.608479,42.556633,35.971705,33.857972,38.592240,33.966329,32.844920,39.373278,38.151156,33.165509,33.822334,33.971278,36.372906,40.660931,41.989607,33.368939,40.225183,34.200790,34.144402,42.294488,35.715956,34.301755,29.433138,40.401236,33.699597,32.458284,33.520135,38.716545,37.873217,33.301206,37.677879,29.902481,35.509960,44.568993,33.746271,36.782892,35.715285,36.216040,34.819091,37.226051,51.401770,37.495468,36.770490,35.223425,36.891727,41.653969,42.857272,39.761652,33.089318,50.556425,43.629420,29.534356,33.644056,39.916494,38.549654,43.353602,43.263332,34.012007,44.130928,37.635097,35.791277,38.395787,38.932797,33.636965,38.985891,38.472715,38.189979,34.535185,35.097650,29.903315,35.956156,39.160743,39.668412,34.252041,43.583096,31.709518,33.997570,36.877260,34.803724,35.391747,39.907794,37.136445,32.220479,39.417171,34.757291,36.690916,35.304986,41.367466,37.491748,38.169405,34.343639,33.806598,39.899486,39.151550,35.985168,36.651383,34.946945,37.174897,35.512038
