,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,28.834947,28.350544,33.790937,27.984369,34.775798,21.543179,39.787439,35.184118,32.378973,33.836603,27.594001,35.370067,32.746642,36.369410,32.243002,40.676297,36.500000,30.773952,29.958603,40.549456,27.054012,26.821381,39.588654,39.485976,35.848989,35.309730,40.564312,42.927213,37.208817,34.240109,28.603109,40.573377,34.044891,39.750026,39.781129,33.941027,27.946841,38.462490,30.870963,38.590128,33.083994,34.071320,40.365922,28.602769,36.039293,34.371896,42.714247,35.140269,32.284866,42.549291,40.130463,27.633715,37.274755,40.778706,38.487652,37.683841,38.221927,32.443884,31.883817,46.151776,34.972488,43.824916,38.860056,40.808294,36.540258,38.483706,40.877035,36.929721,30.353146,32.720015,43.738182,43.246867,44.323307,42.126994,40.699759,41.729328,39.887156,34.196149,35.340980,46.380264,44.925202,46.170533,38.133660,33.229038,46.105211,43.970639,34.794836,39.533619,45.063558,41.660645,45.271873,44.522143,44.070183,33.568459,43.068720,42.805364,43.784874,40.418670,45.818725,42.195773,45.637685,42.370916,41.972515,42.513175,43.189358,43.431747,45.998322,38.330437,34.457703,45.208452,45.701477,44.456766,43.161995,47.064517,42.540310,46.776663,41.189090,41.205157,45.641216,41.871122,45.249494,39.171665,43.971553,39.769441,45.018661
WinMart+,33.363000,0.000000,32.903578,38.407078,42.513718,36.693156,23.647218,47.625804,38.138268,36.102091,38.820082,41.639477,39.523579,36.967222,40.470669,34.782370,46.027287,40.407598,32.873191,41.745072,47.483959,47.087218,36.055506,43.299149,40.952977,39.078178,39.162319,44.402493,47.359852,40.396250,36.604899,43.044761,43.479582,35.977825,42.690303,44.390805,36.171648,35.863054,41.146786,40.607261,48.182153,46.257344,36.295183,43.844459,38.414508,38.499337,46.501085,45.517150,37.026992,33.521277,47.763184,43.599493,36.605979,36.468718,44.657796,40.759139,39.826877,40.484632,43.373459,39.662747,50.116885,36.644868,48.525383,38.165632,43.823814,46.224576,42.127661,55.181697,39.417639,40.889676,39.128642,46.803064,45.786119,47.503703,45.964922,43.400558,54.501869,47.741656,33.143734,36.630508,50.663284,48.705934,51.696635,47.380877,37.672019,49.209216,47.593376,39.611077,41.525452,48.455885,43.917890,49.164388,47.600724,47.061793,38.242573,45.315958,45.004282,46.710248,42.497078,49.580664,44.487607,48.358702,44.245894,44.128415,45.050624,45.622880,45.844999,49.707112,40.162434,35.359766,48.322329,48.351475,46.921595,45.339521,50.233370,40.209398,49.823038,43.040043,42.689923,48.602554,42.698200,47.799010,39.818370,46.175430,40.424805,47.251462
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,28.748235,30.930503,0.000000,30.911290,25.990331,32.609114,29.592649,35.674991,33.140631,36.491568,30.928905,36.330642,32.885059,30.270311,34.059675,38.491047,37.634905,34.144705,29.408405,37.290001,37.743821,34.437227,33.113797,37.372375,37.713431,33.853838,39.014080,38.332679,40.354372,35.236289,32.224219,35.316569,29.989862,38.446571,28.632091,37.584167,38.957842,33.285703,36.757143,31.089069,36.516559,39.898574,37.235666,38.336261,33.522047,34.490576,40.628274,33.419965,39.122506,37.610307,40.371151,38.417385,32.276140,35.972597,38.986169,37.091256,36.344648,29.681776,31.346561,36.414239,43.903493,38.593443,41.889272,37.553725,39.327312,35.335162,36.822898,47.081370,40.781101,34.911150,34.296746,42.340776,41.730984,42.465256,40.355618,39.305413,47.306615,43.810099,33.239264,38.105563,44.669672,43.303698,44.104675,42.839033,34.329420,44.298974,42.379760,36.080611,38.306492,43.570816,40.525572,43.662025,43.129817,42.701005,34.726825,41.986399,41.722852,42.416623,39.149156,44.267689,41.011235,44.038990,41.417248,40.875820,41.269740,42.037903,42.278817,44.481805,37.234425,37.362972,43.863985,44.534451,43.319494,42.095305,45.766074,41.612524,45.505348,40.205332,40.352911,44.337027,41.326842,44.091573,38.741171,42.876019,39.330049,43.990238
Trường Mầm non Hoa Mai,34.462290,37.669356,29.654243,0.000000,35.144796,33.596029,35.144094,29.516522,34.144835,37.928420,30.555043,40.755897,34.147851,21.520458,35.357048,36.931691,35.188452,35.489414,29.807012,40.932546,39.869258,44.048699,37.465911,38.957115,38.958764,34.955578,39.185467,36.931280,39.729244,36.450013,37.520617,41.795411,37.971290,35.565156,36.852663,39.182746,37.311805,37.070498,37.895679,40.342884,36.786727,43.698156,37.377569,37.099315,38.815382,35.391012,44.040048,40.804961,34.675873,35.287282,42.201555,39.729425,37.501635,36.810346,40.404500,36.033846,37.237633,35.701229,31.791474,39.559991,44.553791,37.423663,43.607924,38.482510,40.498483,36.054281,37.067055,49.443456,34.807736,40.580937,43.705366,43.549956,41.681934,42.595481,41.832034,40.397909,49.420353,45.758679,33.722273,41.747988,46.316062,44.788344,46.106853,45.214939,37.694912,44.890919,43.786187,39.967039,37.643357,44.936829,41.458847,45.161475,44.395698,43.903773,38.291398,42.886801,42.616279,43.622480,38.623099,45.725355,41.967024,44.494997,42.184142,41.752834,42.292452,43.009447,43.260021,45.913770,37.997366,39.542199,45.100851,45.601019,44.316683,42.983082,47.020504,42.362585,46.716121,40.964061,41.021173,45.542146,41.288354,45.143029,38.565891,43.817687,39.188981,44.904500
Trường mầm non Vườn Hồng,35.964455,40.137609,26.537723,32.737500,0.000000,35.133305,30.495706,46.618653,35.661442,40.105274,32.154268,42.890053,36.182565,30.992277,37.401266,38.572878,44.742650,37.547206,30.398830,42.778130,43.100431,46.237009,38.786681,41.285178,40.704349,36.546037,41.078848,43.088838,46.929958,38.175126,38.872091,43.574487,42.352702,36.618420,41.335710,41.462147,38.599723,38.275353,39.462896,31.349134,38.558187,45.741997,38.641716,42.547076,39.941681,36.592771,45.946291,44.904102,35.550765,36.122689,44.790937,41.444156,38.480186,37.899268,42.306663,39.402428,38.368743,39.077688,32.398117,40.826728,50.565793,38.308339,46.002072,39.649209,42.006878,37.110337,38.602688,52.006644,35.749154,41.749769,46.507202,45.198225,45.302755,47.284268,43.756254,41.783337,51.817158,47.138486,34.335370,42.705544,48.520774,46.744480,48.896144,46.762702,39.451456,49.359117,45.684896,42.166053,40.510396,46.710096,42.619969,47.204554,45.976147,45.513881,40.151378,44.172311,43.876968,45.138374,41.611327,47.724756,43.224472,48.332921,43.281756,42.985159,43.702096,44.385049,44.607430,47.903711,38.954773,40.294812,46.785040,47.087738,45.710496,44.214284,48.755595,43.413622,48.389354,42.044525,41.832184,47.135072,42.378970,46.545628,39.440935,45.017395,40.064377,46.177965
WinMart+,35.157769,35.684726,35.407643,37.385795,34.760680,0.000000,30.973385,43.486604,33.036409,36.779565,36.552644,38.751524,34.912088,35.494704,36.253788,32.977395,43.373779,33.652279,27.299792,33.722994,39.931004,43.861428,34.824135,39.450708,39.987731,33.233772,40.612649,42.653226,44.922440,35.597171,36.903104,40.764675,42.225063,36.141908,41.516022,38.141061,36.432271,36.936450,33.512123,39.184096,41.267687,43.394439,36.585912,42.326837,37.270818,34.392270,43.889615,44.086049,35.665094,33.247858,40.975625,34.520516,35.716231,39.994983,39.439832,40.029104,33.666388,39.789932,30.173377,38.443686,47.561578,36.868670,37.796252,41.540023,37.722772,32.899332,38.203586,51.426120,40.048916,39.608592,38.276354,34.131734,44.459128,45.680352,37.917144,34.279260,51.205308,46.081196,34.048580,36.781273,42.039215,40.486772,44.631296,45.415241,37.140076,47.259881,39.382944,38.846008,40.812121,41.118610,37.874410,40.998068,40.649351,40.338274,37.660617,38.160320,33.191131,37.693604,41.673400,41.897639,38.743235,46.711604,34.863135,37.071534,38.913635,37.837633,38.391658,42.235112,39.366389,35.377790,41.818789,43.004988,39.657732,38.320061,44.199855,40.515761,43.965419,38.300579,36.939428,42.472747,42.336270,42.465961,39.620855,41.123201,40.201563,42.613362
WinMart+,21.452390,47.152084,28.454048,41.966230,45.503282,38.005147,0.000000,48.127064,41.163821,38.262265,42.336505,39.951304,40.300348,41.014097,43.136616,41.544625,46.981496,42.701318,34.366866,40.723575,48.129413,34.419537,31.871548,44.561004,37.450583,41.445249,42.616056,45.768717,47.708645,42.341038,30.734816,36.181964,31.600051,40.624375,30.424243,45.687233,42.045994,32.381751,38.608293,35.575194,48.420882,45.299300,38.633082,45.268582,32.952942,40.461657,45.745916,35.481005,41.226629,38.799280,48.001066,44.818389,31.077543,40.182747,45.812918,42.313132,37.754774,31.061977,44.169727,37.318115,49.953661,40.166398,48.418029,41.878657,44.859761,40.386753,43.238003,57.572680,43.694860,35.131728,35.916502,41.973975,46.476574,47.994531,46.568126,44.306292,56.106428,47.384497,35.225529,38.993875,50.078411,48.537356,50.821470,47.158184,35.262833,49.329824,47.606766,38.143182,42.758203,48.305019,38.818847,48.816135,47.663266,47.080477,35.703850,40.029800,35.105747,46.910440,43.615477,49.138108,39.291063,40.751630,36.475730,39.049473,45.298320,39.917201,40.408472,49.212415,41.550368,37.794937,48.060540,39.573746,41.587983,40.158208,49.626415,43.009040,42.867178,38.938214,38.429713,48.332056,43.273952,40.663406,40.402792,46.251682,40.973941,40.026531
Siêu thị Đức Thành,39.148724,43.582180,34.606420,30.040124,44.086337,38.397494,38.745812,0.000000,38.709779,43.022107,37.349852,45.395061,40.189864,26.353413,40.896169,41.035536,42.686199,41.130109,32.765871,44.928468,46.956754,48.294195,40.820085,44.211155,42.913611,39.560199,43.299025,41.355497,47.089504,40.976165,40.689529,45.522873,41.064288,38.369608,39.671846,44.357251,40.444881,40.061037,41.667053,43.190409,41.420830,47.698364,40.453438,40.875773,41.499208,38.815634,47.749502,44.444811,37.322049,37.688397,47.379601,43.641309,39.987153,39.695859,44.606981,37.800675,40.165325,37.390676,34.161563,42.306389,52.182210,39.669522,48.138447,41.283606,43.837878,38.675836,40.742052,53.638993,37.276960,43.171775,46.485444,46.635118,45.007901,47.476066,45.817684,43.443729,53.296123,48.285902,35.697853,43.733993,50.197142,48.387078,51.016389,48.124633,38.721588,50.106244,47.353265,41.640150,39.422214,48.190803,43.922501,48.821398,47.397517,46.892188,39.455585,45.260992,44.976559,46.560094,40.685670,49.230945,44.458338,48.721991,44.234781,44.123826,44.995512,45.541602,45.755676,49.358830,40.369390,41.127875,48.095317,48.171620,46.811732,45.277430,49.930812,44.300717,49.559883,43.073829,42.734039,48.369210,42.137070,47.626065,39.105313,46.081196,39.762902,47.121634
WinMart+,32.542798,37.638935,31.502700,33.308152,29.535672,30.521514,34.303261,40.472923,0.000000,38.468586,32.823344,42.061482,30.303154,31.906717,30.495753,35.621927,41.275522,34.426059,25.806947,42.074631,36.290062,46.242813,37.446858,42.083718,40.892819,33.617485,40.350044,40.987370,43.638170,36.672382,37.678008,43.087408,40.892827,35.361179,40.021773,36.603528,37.368971,37.072807,39.054253,40.995590,41.429574,45.648138,37.461413,40.748234,39.108810,34.854863,45.904702,43.130122,33.967952,34.616178,40.965472,37.980835,37.512317,37.058976,38.733010,38.648164,37.682294,38.366461,29.912073,40.108985,46.990368,31.354713,38.847105,39.440837,39.253698,36.108434,37.234539,52.953006,34.441894,41.207918,45.084570,40.674848,43.666944,44.905123,40.762548,39.294175,52.560376,47.226187,32.958579,33.351289,43.454806,41.623562,46.307814,46.825796,39.029926,46.766403,40.356899,39.863038,39.721807,42.199578,38.449205,42.182454,41.624633,41.217664,39.652586,40.802591,40.478033,38.327794,40.659858,43.106780,39.335269,46.201053,40.299319,39.364778,39.563127,40.718243,41.018917,43.451608,36.705002,37.690284,42.814806,43.888358,42.406101,40.929980,45.337584,40.685781,45.042464,38.737035,39.033324,43.469516,41.971063,43.317364,39.221924,41.850304,39.819678,43.344253
Siêu Thị T-Mart,34.339849,34.882900,34.117586,40.307469,39.221019,36.615644,28.392656,46.149379,37.423717,0.000000,37.764051,39.854598,42.960607,36.659961,38.876554,26.967243,45.457735,38.957476,31.661046,32.326800,42.845131,46.821024,34.129198,42.901045,32.295856,37.567462,44.451610,44.383763,46.513642,39.316255,37.008772,42.180016,37.124057,35.898866,43.033656,41.698287,36.249191,36.967008,37.129728,39.754272,44.441125,45.893268,36.471438,43.964616,37.380173,37.318740,46.226425,39.036256,37.490571,32.169434,44.157421,36.832477,35.475635,36.636291,42.315725,41.393929,36.397014,41.180421,32.682305,38.811387,48.712189,36.883469,40.202720,39.035516,39.582736,38.064372,40.702119,56.180601,41.036057,40.188735,38.497849,40.321693,45.526176,46.841334,43.458115,36.165459,55.256800,47.685414,32.279991,36.771756,43.627501,42.133532,47.384220,47.285132,37.173811,48.233339,41.133989,39.118743,41.965050,42.552236,36.763890,42.615357,42.049266,41.740419,37.745639,38.415337,32.708800,39.298826,42.801181,43.362761,37.436383,47.634638,34.672854,37.173948,40.307860,38.052180,38.682150,43.632459,40.588752,35.215956,43.088483,38.006095,40.130317,38.587508,45.233000,41.006754,41.750419,37.544071,36.949501,43.608971,42.791245,39.330752,40.058644,38.195896,40.630820,38.824629
