,depot,WinMart+,Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,Trường Mầm non Hoa Mai,Trường mầm non Vườn Hồng,WinMart+,WinMart+,Siêu thị Đức Thành,WinMart+,Siêu Thị T-Mart,Trường Trung học cơ sở Tân Định,Trường Tiểu học Hoàng Liệt,WinMart+,WinMart+,Cục Dự trữ Nhà nước khu vực Hà Nội,Trường Mầm Non Đại Từ,WinMart+,Cà Phê Parkland,Trường Mầm non Định Công (Cơ sở 3),Highlands Coffee,WinMart+,WinMart+,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ),WinMart+,WinMart+,Trường Mầm non Sao Mai,KFC,Trường Đại học Công nghệ và Quản lý Hữu ,Không có tên,WinMart+,Không có tên,WinMart+,MM Mega Market Hoàng Mai,Trường Tiểu học Đại Kim,Không có tên,Không có tên,Cà Phê 3k,Không có tên,WinMart+,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,AEON MaxValu Linh Đàm,WinMart+,WinMart+,WinMart+,Trường Mầm Non Hoạ Mi,WinMart+,WinMart+,Trường Tiểu học Chu Văn An,WinMart+,WinMart+,Trường Mầm non A Tứ Hiệp,Cà Phê KOK,Không có tên,Trường Đại học Kinh tế - Kỹ thuật Công n,WinMart+,Trường Quốc tế Singapore,WinMart+,Trường Tiểu học Tam Hiệp,WinMart+,Delícia Coffee & Lounge,UBND phường Khương Thượng,WinMart+,Siêu thị B11 Kim Liên,WinMart+,Cà Phê Big One,Trường Mầm non Đại Thanh,siêu thị 24h ninja mark,Trường Mầm non Tứ Hiệp (điểm Cổ Điển B),WinMart+,Không có tên,Quan an Nam Nhu 1,WinMart+,Taste Tea,WinMart+,WinMart+,Trường Cao đẳng Hà Nội,TK mark,Hội đồng nhân dân - Ủy ban nhân dân phườ,Trung tâm Công nghệ Phần mềm Thủy lợi,WinMart+,Không có tên,Cafe Dinh,Trường Trung học cơ sở Yên Mỹ,WinMart+,Coffee Cây,Trường Mầm non Tứ Hiệp (điểm Đồng Trì),Trường Mầm non Lĩnh Nam (cơ sở 2),Chợ Nhân Chính,Cục Sở hữu Trí tuệ,WinMart+,Kho bạc Nhà nước Đống Đa,Tịnh Cafe,Trường Mầm non Yên Mỹ,WinMart+,5050 Rooftop Cafe & Pub,Thuế cơ sở 4 thành phố Hà Nội,Trường Trung học cơ sở Lĩnh Nam,WinMart+,WinMart+,WinMart+,Cửa Hàng Tiện Lợi BV Mart,Đảng uỷ - HĐND - UBND phường Thanh Xuân,Starbucks,WinMart+,WinMart+,WinMart+,Phường Ô Chợ Dừa,Chợ Xanh Văn Quán,Noble Moment,WinMart+,Co.opmart,WinMart+,9.0cafe,The Coffee House,Cục Tần số vô tuyến điện,Everything Coffee 'N Bagel,Starbucks,Chợ Trung Kính,Trường Mầm non Kim Lan,WinMart+,Trường Trung học cơ sở Văn Đức,Trung tâm Hỗ trợ doanh nghiệp Hà Nội,Trường Mầm non Văn Đức (điểm Chử Xá),WinMart+
depot,0.000000,29.452408,28.906663,34.429747,28.571972,35.454020,21.939854,40.625220,35.846884,33.028178,34.466972,28.095783,36.050455,33.340122,37.082864,32.853441,41.416287,37.178461,31.328823,30.498198,41.279103,27.540395,27.303193,40.343472,40.230868,36.492191,36.090342,41.292407,43.718225,37.876043,34.919110,29.115825,41.300314,34.680624,40.461750,40.500539,34.573206,28.459767,39.156949,31.422908,39.279857,33.675125,34.706228,41.086871,29.113481,36.682614,34.985295,43.476333,35.767075,32.860607,43.338168,40.845907,28.126264,37.939016,41.505267,39.173265,38.355013,38.902563,33.021529,32.489882,46.973384,35.594980,44.676958,39.551719,41.534526,37.269681,39.262613,41.650309,37.738454,30.893731,33.302669,44.591521,44.016950,45.112450,42.876935,41.424199,42.545981,40.597121,34.804743,35.969873,47.259023,45.761686,47.065935,38.812240,33.820275,46.925462,44.810906,35.459259,40.236949,45.899303,42.401727,46.167872,45.314146,44.912609,34.165577,44.018587,43.701693,44.564106,41.137925,46.728243,42.987646,46.449832,43.233682,42.825742,43.350355,44.061130,44.281662,46.926626,39.012996,35.102867,46.107078,46.634022,45.382933,44.008984,48.023128,43.427776,47.757425,42.011614,41.939627,46.511856,42.617407,46.123895,39.869800,44.773236,40.478131,45.924138
WinMart+,33.997627,0.000000,33.518396,39.112047,43.291927,37.358894,24.073870,48.502088,38.823845,36.750791,39.515539,42.384235,40.230395,37.627137,41.193339,35.402723,46.847292,41.127257,33.458184,42.487603,48.328216,47.924100,36.696096,44.068560,41.680408,39.771849,39.927355,45.190807,48.200609,41.113093,37.254734,43.808279,44.250661,36.615896,43.447111,45.177669,36.812816,36.498606,41.875810,41.326593,49.035557,47.076551,36.938004,44.620752,39.094583,39.180840,47.324148,46.322717,37.682236,34.114428,48.608388,44.370841,37.253546,37.113805,45.447676,41.480008,40.531207,41.200543,44.140403,40.364174,51.002952,37.292709,49.383436,38.840278,44.598434,47.041861,42.874045,56.157090,40.180960,41.612427,39.820230,47.630453,46.595295,48.343193,46.777180,44.167465,55.465124,48.585197,33.729321,37.277673,51.558464,49.566458,52.610049,48.217840,38.337453,50.078411,48.434129,40.310794,42.258849,49.311727,44.693488,50.032805,48.441308,47.892953,38.917858,46.200405,45.832485,47.535206,43.247603,50.456447,45.273317,49.212671,45.034553,44.913349,45.846277,46.428655,46.654626,50.584970,40.871549,35.984121,49.175635,49.214536,47.778990,46.140133,51.127806,40.945009,50.739613,43.800096,43.443636,49.460728,43.452024,48.642974,40.521319,46.990615,41.138429,48.085734
Trường Mầm non Thịnh Liệt (cơ sở Giáp Nh,29.341176,31.637688,0.000000,31.487123,26.563213,33.280765,30.128953,36.471782,33.806613,37.271839,31.546401,36.988166,33.563259,30.817257,34.776169,39.274680,38.373467,34.829023,29.939078,37.962181,38.470091,35.057177,33.709423,38.140281,38.480987,34.498258,39.936856,39.022745,41.158580,35.915340,32.912480,35.952107,30.529235,39.222913,29.146827,38.320898,39.742994,33.947566,37.477156,31.647732,37.191507,40.621130,37.986873,39.024495,34.123627,35.136348,41.360262,34.019199,39.823762,38.308946,41.181706,39.115024,32.854328,36.616824,39.684176,37.755164,37.003798,30.212817,31.907254,37.162304,44.688776,39.313533,42.768196,38.253642,40.030644,36.095144,37.625258,48.044715,41.738113,35.536287,34.910754,43.232486,42.478109,43.225378,41.120316,40.039607,48.305863,44.632026,33.856763,38.821257,45.585404,44.177256,45.028807,43.605931,34.943876,45.091740,43.255605,36.825823,38.992114,44.446685,41.250858,44.594444,43.948178,43.584001,35.362099,42.978816,42.662284,43.224696,39.850353,45.215976,41.845147,44.827880,42.325871,41.771225,42.147446,42.952816,43.172863,45.449865,37.902135,38.121370,44.805279,45.513817,44.290843,42.988061,46.770982,42.546950,46.532054,41.072172,41.114083,45.253196,42.069092,45.013679,39.436953,43.725643,40.036317,44.945129
Trường Mầm non Hoa Mai,35.144636,38.507010,30.193412,0.000000,35.902680,34.270650,35.776079,30.161739,34.813405,38.720544,31.149250,41.488817,34.834915,21.907032,36.083328,37.665004,35.861065,36.182700,30.341979,41.666593,40.616289,44.837784,38.136641,39.738434,39.732428,35.603435,40.093552,37.593046,40.501269,37.134229,38.303563,42.544139,38.651206,36.265763,37.512334,39.931434,38.045381,37.789281,38.619191,41.064744,37.448335,44.479580,38.113213,37.762576,39.509118,36.036136,44.826800,41.533716,35.295009,35.925410,43.028227,40.438589,38.170853,37.467085,41.125212,36.676465,37.901617,36.337669,32.358111,40.353583,45.347906,38.103752,44.501881,39.181014,41.220207,36.812364,37.856880,50.431183,35.607866,41.305010,44.485060,44.446091,42.425570,43.355297,42.604422,41.132895,50.440375,46.594916,34.332333,42.511773,47.243068,45.670083,47.050550,46.021484,38.367224,45.691471,44.669883,40.773143,38.314758,45.818357,42.198259,46.104066,45.216498,44.790343,38.974452,43.879797,43.555187,44.432263,39.312429,46.682668,42.799948,45.289241,43.089121,42.647176,43.171338,43.924588,44.153746,46.890639,38.676320,40.325550,46.046715,46.581628,45.288806,43.873683,48.030013,43.293187,47.747343,41.827229,41.774840,46.460908,42.027195,46.065027,39.255997,44.664513,39.890158,45.857291
Trường mầm non Vườn Hồng,36.632000,40.886680,27.012820,33.320855,0.000000,35.760879,31.036125,47.469128,36.295186,40.819718,32.724692,43.648463,36.824633,31.539967,38.064823,39.256160,45.534042,38.211586,30.935524,43.533258,43.861821,47.052972,39.471079,42.015238,41.423861,37.191121,41.880001,43.849318,47.759214,38.849219,39.559701,44.343295,43.099895,37.265268,42.064866,42.194075,39.281361,38.951069,40.159374,31.901978,39.238227,46.548608,39.323800,43.297258,40.645894,37.238068,46.756320,45.695713,36.177464,36.759557,45.581165,42.174707,39.158438,38.567260,43.052316,40.096873,39.044980,39.766373,32.969069,41.546917,51.456875,38.983521,46.813631,40.347988,42.747071,37.765110,39.285274,52.923772,36.440654,42.485555,47.326814,45.995580,46.101111,48.117527,44.527497,42.519739,52.731159,47.969255,34.940458,43.458163,49.376340,47.568608,49.758428,47.586637,40.146560,50.228773,46.490393,42.909489,41.224119,47.533465,43.370839,48.036944,46.786276,46.316254,40.858754,45.033663,44.683397,45.933913,42.344556,48.566419,43.986510,49.184560,44.052129,43.748664,44.472728,45.167818,45.393971,48.748502,39.641135,41.005111,47.609990,47.927122,46.544770,44.993870,49.622572,44.206934,49.278558,42.785969,42.569407,47.966073,43.125726,47.366263,40.135906,45.810853,40.770318,46.992222
WinMart+,35.804167,36.395053,36.041024,38.051824,35.435203,0.000000,31.523257,44.342485,33.624978,37.466150,37.202973,39.438754,35.536918,36.123666,36.917997,33.563107,44.142957,34.249219,27.782967,34.319703,40.638012,44.637201,35.439948,40.154840,40.696011,33.821572,41.464192,43.407803,45.718030,36.227149,37.591184,41.485646,42.971763,36.781792,42.250013,38.815839,37.077010,37.589900,34.104798,39.876522,41.996971,44.161159,37.232942,43.074553,37.929167,34.999873,44.664782,44.864619,36.294908,33.835049,41.699755,35.130038,36.346801,40.701056,40.136068,40.735706,34.260669,40.492244,30.705928,39.131298,48.400984,37.519446,38.488846,42.273261,38.388495,33.519462,38.934318,52.341318,40.881973,40.308052,38.952258,34.759512,45.244223,46.486978,38.586805,34.884605,52.150438,46.894987,34.649826,37.430781,42.788974,41.201983,45.447217,46.217047,37.795762,48.094197,40.091813,39.544622,41.532594,41.844846,38.542982,41.764047,41.367074,41.064586,38.325461,38.960183,33.849531,38.359437,42.409373,42.682907,39.427847,47.536565,35.534445,37.784067,39.636714,38.559373,39.100234,43.040511,40.061972,36.003168,42.603495,43.834690,40.439881,39.029280,45.050858,41.315910,44.838307,39.022604,37.592694,43.235412,43.084857,43.239078,40.321410,41.850509,40.912338,43.422913
WinMart+,21.943756,48.359895,29.059838,42.876897,46.658557,38.913756,0.000000,49.367454,42.129609,39.212197,43.326464,40.746805,41.271445,41.775240,44.194988,42.535543,48.067522,43.707265,35.021886,41.521433,49.224449,35.050094,32.454694,45.633972,38.345219,42.380100,43.778886,46.632318,48.828682,43.307092,31.501634,36.859822,32.202995,41.589504,31.010869,46.745415,43.043654,33.141428,39.502670,36.241492,49.488265,46.281000,39.551450,46.098905,33.556943,41.363614,46.733155,36.204675,42.061107,39.658848,49.137783,45.792792,31.646770,41.035975,46.730606,43.087446,38.574597,31.630106,45.115514,38.219528,50.954290,41.060066,49.609397,42.809822,45.787829,41.402300,44.337702,58.959628,44.880692,35.775676,36.574537,43.010421,47.328027,48.873415,47.618233,45.293424,57.495323,48.444386,36.006992,39.867110,51.287012,49.692809,52.071533,48.074275,35.977110,50.233792,48.763763,39.069780,43.541874,49.451434,39.614420,50.036650,48.740328,48.225561,36.486219,41.123270,36.024996,47.974563,44.415950,50.370408,40.233274,41.499650,37.409516,40.047912,46.427407,40.932239,41.410857,50.463920,42.354935,38.700140,49.268071,40.589362,42.673494,41.157163,50.898533,44.133226,43.992339,39.920884,39.294905,49.508162,44.071213,41.663089,41.147059,47.337409,41.728572,41.042485
Siêu thị Đức Thành,39.866090,44.388547,35.224705,30.575336,44.881976,39.084292,39.431083,0.000000,39.398686,43.790314,38.013461,46.197706,40.904306,26.818804,41.623224,41.763601,43.442261,41.858960,33.344238,45.721580,47.787239,49.146110,41.540077,44.994094,43.673193,40.259185,44.131569,42.085200,47.922426,41.700339,41.410404,46.325875,41.788660,39.048062,40.371612,45.140947,41.159773,40.768898,42.403028,43.951963,42.151778,48.539888,41.168120,41.596342,42.230737,39.500525,48.591695,45.228494,37.980095,38.353219,48.216132,44.410933,40.691860,40.395762,45.393290,38.466796,40.873519,38.049540,34.763809,43.053254,53.101907,40.369022,48.988430,42.011522,44.610517,39.358898,41.461722,54.585552,37.986505,43.932514,47.304556,47.458436,45.800953,48.312593,46.625578,44.209668,54.236893,49.137203,36.327166,44.505013,51.082763,49.240595,51.916648,48.972581,39.403909,50.988973,48.188651,42.374724,40.116699,49.040666,44.696424,49.682884,48.232980,47.719303,40.150894,46.129283,45.788747,47.380912,41.402483,50.099673,45.242426,49.580366,45.015500,44.902550,45.789350,46.345238,46.562848,50.229786,41.080634,41.853098,48.943807,49.021662,47.650901,46.076094,50.811841,45.095813,50.454444,43.833722,43.487224,49.222181,42.879391,48.465987,39.794212,46.893534,40.463373,47.952858
WinMart+,33.136541,38.402281,32.065785,33.901956,30.123713,31.082193,34.911635,41.290758,0.000000,39.206454,33.408915,42.808268,30.860748,32.472504,31.070066,36.267708,42.009617,35.038794,26.264292,42.820225,36.934247,47.061512,38.109691,42.855893,41.634772,34.213557,41.217895,41.713496,44.413033,37.322960,38.399640,43.850526,41.617031,35.996962,40.730434,37.252652,38.039364,37.730253,39.746548,41.721012,42.163215,46.456244,38.134345,41.468973,39.800486,35.471860,46.716946,43.893021,34.568719,35.228669,41.698147,38.652643,38.175370,37.714292,39.417743,39.331158,38.348568,39.044393,30.440842,40.845891,47.820852,31.909103,39.577953,40.138223,39.947474,36.806819,37.965135,53.921165,35.175798,41.936583,45.881739,41.442932,44.439082,45.699111,41.483782,39.989317,53.556277,48.061711,33.541610,33.941279,44.250948,42.372410,47.177054,47.653768,39.720083,47.593147,41.102979,40.599401,40.424046,42.955770,39.129057,42.991293,42.360969,41.979943,40.353887,41.678414,41.301133,39.006148,41.379026,43.935924,40.048929,47.018281,41.095249,40.140877,40.317769,41.515094,41.796203,44.301755,37.354736,38.372426,43.639396,44.756940,43.263657,41.707763,46.233088,41.509672,45.959340,39.486567,39.725176,44.271561,42.714632,44.127434,39.916779,42.592192,40.525060,44.189266
Siêu Thị T-Mart,34.964253,35.544794,34.725765,41.024387,39.951101,37.269794,28.894771,47.021623,38.089682,0.000000,38.435076,40.559640,43.724542,37.307726,39.568037,27.445856,46.263124,39.648002,32.220187,32.897729,43.603159,47.647353,34.731463,43.661114,32.867722,38.231472,45.349308,45.167431,47.336828,40.011491,37.668830,42.924543,37.779347,36.534006,43.793192,42.435406,36.890281,37.620538,37.785902,40.455643,45.225793,46.703380,37.116111,44.740059,38.039448,37.977547,47.042164,39.724918,38.151917,32.737171,44.937431,37.482331,36.101136,37.282548,43.061991,42.123709,37.039050,41.906394,33.258724,39.496892,49.571099,37.534111,40.912963,39.724074,40.280665,38.750883,41.447486,57.172591,41.856564,40.897372,39.176652,41.034084,46.328870,47.667195,44.224868,36.803462,56.232883,48.526625,32.849384,37.420411,44.397702,42.877181,48.220941,48.118763,37.829227,49.083552,41.860106,39.809258,42.704736,43.303072,37.412024,43.376389,42.790858,42.477109,38.411171,39.189139,33.330667,39.992118,43.555798,44.139529,38.097119,48.474454,35.311756,37.857581,41.023263,38.746308,39.365200,44.428050,41.304517,35.837510,43.860950,38.707545,40.888210,39.269233,46.065885,41.782157,42.544234,38.220138,37.601551,44.378995,43.546029,40.025280,40.765205,38.870046,41.347449,39.529409
